# Task: walking,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,35,3.67,16.5,3.77,14,1.63,Walking
250,28.5,3.35,17.5,3.77,12.25,3.9,Walking
500,35.5,2.87,15.75,2.86,17.75,5.07,Walking
750,29.75,12.19,16.25,2.17,20.75,2.59,Walking
1000,27,2.12,16.75,0.83,24.75,1.64,Walking
1250,36,5.61,12.25,2.28,19.25,2.68,Walking
1500,38.5,4.33,16,5.7,15.25,2.38,Walking
1750,35.25,2.49,16,1.41,15,2.83,Walking
2000,35.75,7.05,11,4.42,12.5,8.08,Walking
2250,36,7.04,15,2.12,16.75,4.02,Walking
2500,23.75,5.49,12.33,2.05,16.75,5.31,Walking
2750,37,5.05,16.67,2.36,17,1.41,Walking
3000,39.5,2.18,20.67,2.05,15.67,6.13,Walking
3250,36.5,2.29,21.33,1.89,12,2.45,Walking
3500,31.5,7.23,17.25,5.07,15,3.54,Walking
3750,33,5.72,20.25,0.83,14.33,9.74,Walking
4000,30.4,2.33,19.5,2.06,22.2,3.31,Walking
4250,37.5,4.97,12,4.74,13.25,3.03,Walking
4500,41.33,0.94,18.5,4.09,11.67,7.76,Walking
4750,38.5,0.5,19,2,16.5,1.5,Walking
5000,38.5,0.5,19,2,16.5,1.5,Walking
5250,36.15,3.74,16.5,4.17,14.69,6.12,Walking
5500,36.15,3.74,16.5,4.17,14.69,6.12,Walking
5750,32,2.74,17.67,3.68,15,2.16,Walking
6000,41.25,3.77,15.25,1.79,17.5,1.5,Walking
6250,38.5,0.5,15.5,3.28,18.5,1.12,Walking
6500,36,3.67,14.5,2.18,16.75,2.38,Walking
6750,40.75,6.38,12.25,6.61,14,5.52,Walking
7000,28.5,1.12,15.25,4.09,14.25,5.12,Walking
7250,25.25,3.63,14.67,4.92,16.67,1.89,Walking
7500,39,3.54,16.75,3.27,19.25,2.38,Walking
7750,29.25,5.67,13,5.83,16,1.22,Walking
8000,25.67,4.19,17.67,2.05,17.5,3.5,Walking
8250,39,3.54,13.75,2.59,18.75,1.79,Walking
8500,30,0.71,14,2.92,19,4.06,Walking
8750,24.5,3.57,15.5,3.35,16.25,6.3,Walking
9000,38.25,5.8,12,2.55,18,2.74,Walking
9250,37.5,1.5,15.33,1.25,18,1.63,Walking
9500,35.33,1.7,16,1.41,17.25,3.56,Walking
9750,40.25,3.63,13.75,5.31,15.25,5.67,Walking
10000,33.75,6.53,5.5,4.15,16.25,4.55,Walking
10250,31.75,1.3,16.75,5.17,12.75,8.26,Walking
10500,36.75,3.34,14.75,2.17,16.5,3.84,Walking
10750,40.5,1.5,17.75,3.11,17,2.45,Walking
11000,37.75,1.09,16.75,3.49,22,2.35,Walking
11250,41,2.74,9.5,4.92,14.75,3.56,Walking
11500,34.5,6.18,13.33,3.4,12.25,7.08,Walking
11750,28.67,1.7,19.67,1.25,17.5,0.5,Walking
12000,36,6.36,14,4.06,19.25,1.09,Walking
12250,41,2.55,10.33,6.24,14.25,3.34,Walking
12500,37.5,1.5,16.25,3.83,17,3.24,Walking
12750,39,4.9,21,0,12,3,Walking
13000,35.67,6.13,11.25,6.18,17.67,4.11,Walking
13250,23.25,8.7,10.75,4.15,15,6,Walking
13500,38,5.2,17.75,3.11,12.75,5.26,Walking
13750,38.67,1.89,16.33,1.25,12.75,2.49,Walking
14000,35.33,1.7,21.33,0.47,18,1.41,Walking
14250,37.5,1.5,20.75,1.09,12.75,5.31,Walking
14500,34.25,5.07,12.5,0.87,18.5,4.09,Walking
14750,32,3.24,12.25,5.63,18.25,6.3,Walking
15000,31.5,6.87,14.33,3.3,14.33,3.3,Walking
15250,40.75,2.68,14.33,4.99,17,1.41,Walking
15500,36.5,2.5,21.25,0.43,15,4.3,Walking
15750,37.67,1.25,18.5,2.18,22.33,1.25,Walking
16000,39.25,6.61,20.75,0.43,18,3.08,Walking
16250,29.67,2.05,17,1,22.67,1.7,Walking
16500,25.75,3.27,14.75,2.86,14.5,7.23,Walking
16750,35.75,5.21,19.75,1.79,21,0.71,Walking
17000,33.75,1.3,14.25,6.42,17.75,3.7,Walking
17250,34.25,2.38,13,6.12,13.5,8.14,Walking
17500,40.25,5.45,14.75,2.68,20,3,Walking
17750,28.75,4.09,16.75,3.77,20.75,3.42,Walking
18000,26.25,6.14,12.5,6.06,20.75,5.21,Walking
18250,40.5,2.69,16.33,4.11,25,1.41,Walking
18500,36.75,2.28,20.25,4.49,19,5.2,Walking
18750,35.67,4.03,15,4.12,19.33,1.89,Walking
19000,36,9.82,15,2.12,15.75,3.9,Walking
19250,32.75,2.05,16,3.67,19.25,2.28,Walking
19500,22.33,4.11,20.67,0.47,21.5,2.87,Walking
19750,36,4.74,14.75,2.68,17.5,4.92,Walking
20000,38,1.22,21.5,2.5,20.25,3.11,Walking
20250,36.5,0.5,19.25,2.17,19,1.22,Walking
20500,37.75,5.49,19,2.74,14.5,3.77,Walking
20750,36,6.75,14.75,3.27,17.25,4.97,Walking
